Supplier ID,Quarter,Credit Score,Revenue (USD),D&B Rating
SUP001,2020-03-31,684,6236195.71,50.57
SUP001,2020-06-30,655,5310691.22,70.65
SUP001,2020-09-30,677,5583778.43,56.39
SUP001,2020-12-31,643,6495114.16,70.69
SUP001,2021-03-31,675,6889172.94,73.4
SUP001,2021-06-30,660,6265996.96,55.75
SUP001,2021-09-30,653,6383607.09,75.12
SUP001,2021-12-31,651,5729851.43,65.8
SUP001,2022-03-31,662,6355296.31,74.25
SUP001,2022-06-30,673,6687105.29,62.59
SUP001,2022-09-30,659,5518295.33,64.79
SUP001,2022-12-31,651,6142573.05,81.36
SUP001,2023-03-31,660,6519699.7,77.33
SUP001,2023-06-30,689,6513947.46,73.53
SUP001,2023-09-30,676,6376020.61,53.72
SUP001,2023-12-31,641,5438920.04,62.29
SUP002,2020-03-31,728,7101475.89,93.32
SUP002,2020-06-30,665,7345283.99,97.75
SUP002,2020-09-30,707,7228764.41,92.65
SUP002,2020-12-31,724,7627711.5,69.65
SUP002,2021-03-31,738,7349489.75,86.59
SUP002,2021-06-30,661,6964690.81,88.22
SUP002,2021-09-30,713,8695382.9,88.86
SUP002,2021-12-31,685,6842585.15,80.4
SUP002,2022-03-31,721,6511251.55,88.11
SUP002,2022-06-30,719,7713634.01,90.71
SUP002,2022-09-30,706,7799065.47,85.26
SUP002,2022-12-31,718,7186348.14,80.33
SUP002,2023-03-31,718,7934975.81,100.0
SUP002,2023-06-30,736,6768685.29,92.01
SUP002,2023-09-30,705,6704793.47,92.1
SUP002,2023-12-31,745,7390378.44,90.36
SUP003,2020-03-31,682,6424876.74,89.28
SUP003,2020-06-30,636,7116826.13,89.9
SUP003,2020-09-30,656,7050340.2,87.04
SUP003,2020-12-31,648,6962453.39,88.89
SUP003,2021-03-31,652,6922576.57,82.16
SUP003,2021-06-30,663,6418926.35,74.71
SUP003,2021-09-30,641,6333111.17,85.91
SUP003,2021-12-31,659,6507975.94,85.88
SUP003,2022-03-31,644,6807632.07,80.15
SUP003,2022-06-30,643,5829958.91,72.03
SUP003,2022-09-30,652,6191345.36,77.12
SUP003,2022-12-31,668,5872509.47,87.11
SUP003,2023-03-31,678,7720275.46,81.84
SUP003,2023-06-30,678,6018523.15,82.78
SUP003,2023-09-30,682,6229104.63,82.2
SUP003,2023-12-31,655,7195388.67,88.17
SUP004,2020-03-31,755,6192492.93,59.85
SUP004,2020-06-30,741,5909808.62,62.47
SUP004,2020-09-30,743,5176391.34,56.79
SUP004,2020-12-31,713,5422735.76,48.69
SUP004,2021-03-31,738,6332197.64,56.07
SUP004,2021-06-30,703,5390857.76,59.1
SUP004,2021-09-30,732,5686606.82,52.91
SUP004,2021-12-31,713,5791615.13,54.06
SUP004,2022-03-31,713,5611500.75,56.2
SUP004,2022-06-30,742,4770455.67,47.89
SUP004,2022-09-30,726,6142237.17,70.73
SUP004,2022-12-31,718,5621934.38,62.4
SUP004,2023-03-31,738,5476150.76,52.23
SUP004,2023-06-30,738,5875766.01,67.19
SUP004,2023-09-30,721,6074823.24,63.65
SUP004,2023-12-31,753,5633786.34,72.75
SUP005,2020-03-31,654,6443421.07,75.87
SUP005,2020-06-30,669,4551768.69,60.0
SUP005,2020-09-30,659,6773904.48,80.0
SUP005,2020-12-31,674,8972413.82,85.66
SUP005,2021-03-31,650,9083465.08,65.06
SUP005,2021-06-30,677,9502909.1,78.64
SUP005,2021-09-30,690,9206858.65,70.34
SUP005,2021-12-31,669,9439459.83,86.83
SUP005,2022-03-31,685,7643316.86,72.22
SUP005,2022-06-30,683,9135365.74,81.33
SUP005,2022-09-30,673,8305664.93,82.38
SUP005,2022-12-31,670,8201114.22,85.49
SUP005,2023-03-31,687,8246806.69,82.98
SUP005,2023-06-30,683,8169035.08,96.88
SUP005,2023-09-30,670,6178104.63,67.65
SUP005,2023-12-31,681,8598272.4,84.16
SUP006,2020-03-31,732,6684034.39,66.29
SUP006,2020-06-30,707,5571094.12,74.04
SUP006,2020-09-30,664,6512891.96,78.2
SUP006,2020-12-31,720,5559044.35,59.39
SUP006,2021-03-31,709,5486812.15,73.14
SUP006,2021-06-30,714,6199890.09,60.06
SUP006,2021-09-30,727,6315197.87,78.28
SUP006,2021-12-31,713,5419818.71,57.55
SUP006,2022-03-31,732,6533643.13,63.87
SUP006,2022-06-30,750,6376093.92,64.87
SUP006,2022-09-30,704,6445979.96,73.14
SUP006,2022-12-31,699,6014068.58,74.12
SUP006,2023-03-31,700,5001265.92,66.97
SUP006,2023-06-30,693,6179073.33,66.76
SUP006,2023-09-30,741,5220752.46,63.83
SUP006,2023-12-31,711,6892422.06,66.28
